user_id,timestamp,dataset_source,hour,day_of_week,month,day_of_month,IsOutsideWorkHours,IsWeekend,NightShift,source_tracker,source_staff,frekuensi_aktivitas_per_user,frekuensi_per_user_per_source,pola_waktu_akses,rasio_weekend_per_user,rasio_outside_hours_per_user
8,2025-01-02 13:30:09,tracker,13,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
8,2025-01-02 13:31:19,tracker,13,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
8,2025-01-02 13:31:49,tracker,13,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
8,2025-01-02 13:34:00,tracker,13,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
10,2025-01-02 13:40:12,tracker,13,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 13:42:58,tracker,13,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
9,2025-01-02 13:48:22,tracker,13,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
9,2025-01-02 13:50:08,tracker,13,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
9,2025-01-02 13:50:18,tracker,13,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
9,2025-01-02 13:50:35,tracker,13,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
8,2025-01-02 13:52:32,tracker,13,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
9,2025-01-02 13:53:41,tracker,13,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
8,2025-01-02 13:54:01,tracker,13,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
10,2025-01-02 13:59:01,tracker,13,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 14:02:36,tracker,14,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 14:02:42,tracker,14,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 14:02:47,tracker,14,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
8,2025-01-02 14:04:02,tracker,14,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
8,2025-01-02 14:04:15,tracker,14,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
10,2025-01-02 14:07:14,tracker,14,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 14:08:10,tracker,14,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
8,2025-01-02 14:10:39,tracker,14,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
7,2025-01-02 14:12:13,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
9,2025-01-02 14:12:55,tracker,14,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
8,2025-01-02 14:13:46,tracker,14,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
7,2025-01-02 14:14:22,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
1,2025-01-02 14:14:50,tracker,14,3,1,2,0,0,0,1,0,431,431,2.2585389568020386,0.23201856148491878,0.0
1,2025-01-02 14:14:54,tracker,14,3,1,2,0,0,0,1,0,431,431,2.2585389568020386,0.23201856148491878,0.0
10,2025-01-02 14:15:37,tracker,14,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
9,2025-01-02 14:15:43,tracker,14,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
7,2025-01-02 14:15:44,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
8,2025-01-02 14:15:54,tracker,14,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
7,2025-01-02 14:16:39,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
